time,ChargingStationID,Status,Iterations,OptimalValue,SetupTime,SolveTime,SolverName,sum_t1,sum_t2,T1,T2
60,435,optimal,26,3.95823560019775e-10,0.000331,0.006812,ECOS,"[2.10387313e-07 2.10390545e-07 2.10432171e-07 2.10455679e-07
 2.10480644e-07 2.10471500e-07 2.10452239e-07 2.10468963e-07
 2.10426947e-07 2.10533221e-07 2.10454792e-07 2.10487539e-07
 2.10390408e-07 2.10456150e-07 2.10424989e-07 2.10434158e-07
 2.10338281e-07 2.10432934e-07 2.10239783e-07 2.10364730e-07
 2.10293372e-07 2.10288345e-07 2.10181298e-07 2.10142333e-07
 2.10011635e-07 2.10038160e-07 2.09831286e-07 2.09674549e-07
 2.09413376e-07 2.09056849e-07]","[2.10387313e-07 2.10390545e-07 2.10432171e-07 2.10455679e-07
 2.10480644e-07 2.10471500e-07 2.10452239e-07 2.10468963e-07
 2.10426947e-07 2.10533221e-07 2.10454792e-07 2.10487539e-07
 2.10390408e-07 2.10456150e-07 2.10424989e-07 2.10434158e-07
 2.10338281e-07 2.10432934e-07 2.10239783e-07 2.10364730e-07
 2.10293372e-07 2.10288345e-07 2.10181298e-07 2.10142333e-07
 2.10011635e-07 2.10038160e-07 2.09831286e-07 2.09674549e-07
 2.09413376e-07 2.09056849e-07]","[[2.10387313e-07 2.10390545e-07 2.10432171e-07 2.10455679e-07
  2.10480644e-07 2.10471500e-07 2.10452239e-07 2.10468963e-07
  2.10426947e-07 2.10533221e-07 2.10454792e-07 2.10487539e-07
  2.10390408e-07 2.10456150e-07 2.10424989e-07 2.10434158e-07
  2.10338281e-07 2.10432934e-07 2.10239783e-07 2.10364730e-07
  2.10293372e-07 2.10288345e-07 2.10181298e-07 2.10142333e-07
  2.10011635e-07 2.10038160e-07 2.09831286e-07 2.09674549e-07
  2.09413376e-07 2.09056849e-07]]","[[2.10387313e-07 2.10390545e-07 2.10432171e-07 2.10455679e-07
  2.10480644e-07 2.10471500e-07 2.10452239e-07 2.10468963e-07
  2.10426947e-07 2.10533221e-07 2.10454792e-07 2.10487539e-07
  2.10390408e-07 2.10456150e-07 2.10424989e-07 2.10434158e-07
  2.10338281e-07 2.10432934e-07 2.10239783e-07 2.10364730e-07
  2.10293372e-07 2.10288345e-07 2.10181298e-07 2.10142333e-07
  2.10011635e-07 2.10038160e-07 2.09831286e-07 2.09674549e-07
  2.09413376e-07 2.09056849e-07]]"
120,435,optimal,26,3.979208794421949e-10,0.0002765,0.0070977,ECOS,"[2.10911325e-07 2.11037931e-07 2.11101466e-07 2.11120100e-07
 2.11047298e-07 2.11024369e-07 2.11039507e-07 2.11106983e-07
 2.11098241e-07 2.11064238e-07 2.11139100e-07 2.11068323e-07
 2.11114178e-07 2.11047360e-07 2.11069816e-07 2.11101858e-07
 2.11043206e-07 2.10997875e-07 2.11022255e-07 2.10933738e-07
 2.10861440e-07 2.10874135e-07 2.10911805e-07 2.10679674e-07
 2.10692547e-07 2.10584103e-07 2.10479560e-07 2.10325587e-07
 2.09959281e-07 2.09670546e-07]","[2.10911325e-07 2.11037931e-07 2.11101466e-07 2.11120100e-07
 2.11047298e-07 2.11024369e-07 2.11039507e-07 2.11106983e-07
 2.11098241e-07 2.11064238e-07 2.11139100e-07 2.11068323e-07
 2.11114178e-07 2.11047360e-07 2.11069816e-07 2.11101858e-07
 2.11043206e-07 2.10997875e-07 2.11022255e-07 2.10933738e-07
 2.10861440e-07 2.10874135e-07 2.10911805e-07 2.10679674e-07
 2.10692547e-07 2.10584103e-07 2.10479560e-07 2.10325587e-07
 2.09959281e-07 2.09670546e-07]","[[2.10911325e-07 2.11037931e-07 2.11101466e-07 2.11120100e-07
  2.11047298e-07 2.11024369e-07 2.11039507e-07 2.11106983e-07
  2.11098241e-07 2.11064238e-07 2.11139100e-07 2.11068323e-07
  2.11114178e-07 2.11047360e-07 2.11069816e-07 2.11101858e-07
  2.11043206e-07 2.10997875e-07 2.11022255e-07 2.10933738e-07
  2.10861440e-07 2.10874135e-07 2.10911805e-07 2.10679674e-07
  2.10692547e-07 2.10584103e-07 2.10479560e-07 2.10325587e-07
  2.09959281e-07 2.09670546e-07]]","[[2.10911325e-07 2.11037931e-07 2.11101466e-07 2.11120100e-07
  2.11047298e-07 2.11024369e-07 2.11039507e-07 2.11106983e-07
  2.11098241e-07 2.11064238e-07 2.11139100e-07 2.11068323e-07
  2.11114178e-07 2.11047360e-07 2.11069816e-07 2.11101858e-07
  2.11043206e-07 2.10997875e-07 2.11022255e-07 2.10933738e-07
  2.10861440e-07 2.10874135e-07 2.10911805e-07 2.10679674e-07
  2.10692547e-07 2.10584103e-07 2.10479560e-07 2.10325587e-07
  2.09959281e-07 2.09670546e-07]]"
180,435,optimal,26,4.0530968238534145e-10,0.0003035,0.0091037,ECOS,"[2.12639413e-07 2.12608013e-07 2.12660090e-07 2.12689059e-07
 2.12724989e-07 2.12731651e-07 2.12677192e-07 2.12755978e-07
 2.12685068e-07 2.12754351e-07 2.12824462e-07 2.12715418e-07
 2.12686666e-07 2.12703792e-07 2.12657101e-07 2.12698075e-07
 2.12631729e-07 2.12602671e-07 2.12582675e-07 2.12574853e-07
 2.12507904e-07 2.12516565e-07 2.12455784e-07 2.12398489e-07
 2.12342658e-07 2.12255755e-07 2.12122531e-07 2.11906191e-07
 2.11581742e-07 2.11372791e-07]","[2.12639413e-07 2.12608013e-07 2.12660090e-07 2.12689059e-07
 2.12724989e-07 2.12731651e-07 2.12677192e-07 2.12755978e-07
 2.12685068e-07 2.12754351e-07 2.12824462e-07 2.12715418e-07
 2.12686666e-07 2.12703792e-07 2.12657101e-07 2.12698075e-07
 2.12631729e-07 2.12602671e-07 2.12582675e-07 2.12574853e-07
 2.12507904e-07 2.12516565e-07 2.12455784e-07 2.12398489e-07
 2.12342658e-07 2.12255755e-07 2.12122531e-07 2.11906191e-07
 2.11581742e-07 2.11372791e-07]","[[2.12639413e-07 2.12608013e-07 2.12660090e-07 2.12689059e-07
  2.12724989e-07 2.12731651e-07 2.12677192e-07 2.12755978e-07
  2.12685068e-07 2.12754351e-07 2.12824462e-07 2.12715418e-07
  2.12686666e-07 2.12703792e-07 2.12657101e-07 2.12698075e-07
  2.12631729e-07 2.12602671e-07 2.12582675e-07 2.12574853e-07
  2.12507904e-07 2.12516565e-07 2.12455784e-07 2.12398489e-07
  2.12342658e-07 2.12255755e-07 2.12122531e-07 2.11906191e-07
  2.11581742e-07 2.11372791e-07]]","[[2.12639413e-07 2.12608013e-07 2.12660090e-07 2.12689059e-07
  2.12724989e-07 2.12731651e-07 2.12677192e-07 2.12755978e-07
  2.12685068e-07 2.12754351e-07 2.12824462e-07 2.12715418e-07
  2.12686666e-07 2.12703792e-07 2.12657101e-07 2.12698075e-07
  2.12631729e-07 2.12602671e-07 2.12582675e-07 2.12574853e-07
  2.12507904e-07 2.12516565e-07 2.12455784e-07 2.12398489e-07
  2.12342658e-07 2.12255755e-07 2.12122531e-07 2.11906191e-07
  2.11581742e-07 2.11372791e-07]]"
240,435,optimal,26,4.0937554467855507e-10,0.0004345,0.007208,ECOS,"[2.13108572e-07 2.13182933e-07 2.13227932e-07 2.13220577e-07
 2.13214336e-07 2.13183752e-07 2.13246594e-07 2.13214997e-07
 2.13294799e-07 2.13311010e-07 2.13233733e-07 2.13269263e-07
 2.13232627e-07 2.13268694e-07 2.13237752e-07 2.13259897e-07
 2.13192093e-07 2.13175075e-07 2.13251580e-07 2.13204355e-07
 2.13150245e-07 2.13019980e-07 2.13033996e-07 2.12906377e-07
 2.12827666e-07 2.12757679e-07 2.12667918e-07 2.12472461e-07
 2.12197505e-07 2.11869341e-07]","[2.13108572e-07 2.13182933e-07 2.13227932e-07 2.13220577e-07
 2.13214336e-07 2.13183752e-07 2.13246594e-07 2.13214997e-07
 2.13294799e-07 2.13311010e-07 2.13233733e-07 2.13269263e-07
 2.13232627e-07 2.13268694e-07 2.13237752e-07 2.13259897e-07
 2.13192093e-07 2.13175075e-07 2.13251580e-07 2.13204355e-07
 2.13150245e-07 2.13019980e-07 2.13033996e-07 2.12906377e-07
 2.12827666e-07 2.12757679e-07 2.12667918e-07 2.12472461e-07
 2.12197505e-07 2.11869341e-07]","[[2.13108572e-07 2.13182933e-07 2.13227932e-07 2.13220577e-07
  2.13214336e-07 2.13183752e-07 2.13246594e-07 2.13214997e-07
  2.13294799e-07 2.13311010e-07 2.13233733e-07 2.13269263e-07
  2.13232627e-07 2.13268694e-07 2.13237752e-07 2.13259897e-07
  2.13192093e-07 2.13175075e-07 2.13251580e-07 2.13204355e-07
  2.13150245e-07 2.13019980e-07 2.13033996e-07 2.12906377e-07
  2.12827666e-07 2.12757679e-07 2.12667918e-07 2.12472461e-07
  2.12197505e-07 2.11869341e-07]]","[[2.13108572e-07 2.13182933e-07 2.13227932e-07 2.13220577e-07
  2.13214336e-07 2.13183752e-07 2.13246594e-07 2.13214997e-07
  2.13294799e-07 2.13311010e-07 2.13233733e-07 2.13269263e-07
  2.13232627e-07 2.13268694e-07 2.13237752e-07 2.13259897e-07
  2.13192093e-07 2.13175075e-07 2.13251580e-07 2.13204355e-07
  2.13150245e-07 2.13019980e-07 2.13033996e-07 2.12906377e-07
  2.12827666e-07 2.12757679e-07 2.12667918e-07 2.12472461e-07
  2.12197505e-07 2.11869341e-07]]"
300,435,optimal,26,3.9009696442926513e-10,0.0004432,0.0091944,ECOS,"[2.07401555e-07 2.07447372e-07 2.07478160e-07 2.07449974e-07
 2.07478605e-07 2.07533175e-07 2.07539955e-07 2.07538181e-07
 2.07599291e-07 2.07513695e-07 2.07495497e-07 2.07544276e-07
 2.07551728e-07 2.07442603e-07 2.07491389e-07 2.07447069e-07
 2.07476313e-07 2.07442491e-07 2.07412165e-07 2.07462209e-07
 2.07317429e-07 2.07304682e-07 2.07279200e-07 2.07181497e-07
 2.07181729e-07 2.06962551e-07 2.06903685e-07 2.06813517e-07
 2.06452951e-07 2.06129648e-07]","[2.07401555e-07 2.07447372e-07 2.07478160e-07 2.07449974e-07
 2.07478605e-07 2.07533175e-07 2.07539955e-07 2.07538181e-07
 2.07599291e-07 2.07513695e-07 2.07495497e-07 2.07544276e-07
 2.07551728e-07 2.07442603e-07 2.07491389e-07 2.07447069e-07
 2.07476313e-07 2.07442491e-07 2.07412165e-07 2.07462209e-07
 2.07317429e-07 2.07304682e-07 2.07279200e-07 2.07181497e-07
 2.07181729e-07 2.06962551e-07 2.06903685e-07 2.06813517e-07
 2.06452951e-07 2.06129648e-07]","[[2.07401555e-07 2.07447372e-07 2.07478160e-07 2.07449974e-07
  2.07478605e-07 2.07533175e-07 2.07539955e-07 2.07538181e-07
  2.07599291e-07 2.07513695e-07 2.07495497e-07 2.07544276e-07
  2.07551728e-07 2.07442603e-07 2.07491389e-07 2.07447069e-07
  2.07476313e-07 2.07442491e-07 2.07412165e-07 2.07462209e-07
  2.07317429e-07 2.07304682e-07 2.07279200e-07 2.07181497e-07
  2.07181729e-07 2.06962551e-07 2.06903685e-07 2.06813517e-07
  2.06452951e-07 2.06129648e-07]]","[[2.07401555e-07 2.07447372e-07 2.07478160e-07 2.07449974e-07
  2.07478605e-07 2.07533175e-07 2.07539955e-07 2.07538181e-07
  2.07599291e-07 2.07513695e-07 2.07495497e-07 2.07544276e-07
  2.07551728e-07 2.07442603e-07 2.07491389e-07 2.07447069e-07
  2.07476313e-07 2.07442491e-07 2.07412165e-07 2.07462209e-07
  2.07317429e-07 2.07304682e-07 2.07279200e-07 2.07181497e-07
  2.07181729e-07 2.06962551e-07 2.06903685e-07 2.06813517e-07
  2.06452951e-07 2.06129648e-07]]"
360,435,optimal,26,4.049193138770516e-10,0.000282,0.0090884,ECOS,"[2.10640099e-07 2.10710138e-07 2.10711006e-07 2.10765795e-07
 2.10745576e-07 2.10786005e-07 2.10775877e-07 2.10851195e-07
 2.10861938e-07 2.10820044e-07 2.10713186e-07 2.10665628e-07
 2.10792582e-07 2.10728114e-07 2.10739788e-07 2.10723703e-07
 2.10699892e-07 2.10690726e-07 2.10641924e-07 2.10642108e-07
 2.10572884e-07 2.10567774e-07 2.10486377e-07 2.10509107e-07
 2.10325911e-07 2.10328830e-07 2.10197074e-07 2.09986306e-07
 2.09711577e-07 2.09378505e-07]","[2.10640099e-07 2.10710138e-07 2.10711006e-07 2.10765795e-07
 2.10745576e-07 2.10786005e-07 2.10775877e-07 2.10851195e-07
 2.10861938e-07 2.10820044e-07 2.10713186e-07 2.10665628e-07
 2.10792582e-07 2.10728114e-07 2.10739788e-07 2.10723703e-07
 2.10699892e-07 2.10690726e-07 2.10641924e-07 2.10642108e-07
 2.10572884e-07 2.10567774e-07 2.10486377e-07 2.10509107e-07
 2.10325911e-07 2.10328830e-07 2.10197074e-07 2.09986306e-07
 2.09711577e-07 2.09378505e-07]","[[2.10640099e-07 2.10710138e-07 2.10711006e-07 2.10765795e-07
  2.10745576e-07 2.10786005e-07 2.10775877e-07 2.10851195e-07
  2.10861938e-07 2.10820044e-07 2.10713186e-07 2.10665628e-07
  2.10792582e-07 2.10728114e-07 2.10739788e-07 2.10723703e-07
  2.10699892e-07 2.10690726e-07 2.10641924e-07 2.10642108e-07
  2.10572884e-07 2.10567774e-07 2.10486377e-07 2.10509107e-07
  2.10325911e-07 2.10328830e-07 2.10197074e-07 2.09986306e-07
  2.09711577e-07 2.09378505e-07]]","[[2.10640099e-07 2.10710138e-07 2.10711006e-07 2.10765795e-07
  2.10745576e-07 2.10786005e-07 2.10775877e-07 2.10851195e-07
  2.10861938e-07 2.10820044e-07 2.10713186e-07 2.10665628e-07
  2.10792582e-07 2.10728114e-07 2.10739788e-07 2.10723703e-07
  2.10699892e-07 2.10690726e-07 2.10641924e-07 2.10642108e-07
  2.10572884e-07 2.10567774e-07 2.10486377e-07 2.10509107e-07
  2.10325911e-07 2.10328830e-07 2.10197074e-07 2.09986306e-07
  2.09711577e-07 2.09378505e-07]]"
420,435,optimal,26,4.170256623984082e-10,0.0002891,0.0092553,ECOS,"[2.13013641e-07 2.12965063e-07 2.13088836e-07 2.13097582e-07
 2.13052046e-07 2.13026898e-07 2.13098353e-07 2.13041050e-07
 2.13087892e-07 2.13090288e-07 2.13053216e-07 2.13048618e-07
 2.13073440e-07 2.13040948e-07 2.13053444e-07 2.13060454e-07
 2.12933047e-07 2.12952974e-07 2.12991381e-07 2.12907558e-07
 2.12908825e-07 2.12797342e-07 2.12866635e-07 2.12732912e-07
 2.12663269e-07 2.12498515e-07 2.12423597e-07 2.12289111e-07
 2.11982977e-07 2.11705196e-07]","[2.13013641e-07 2.12965063e-07 2.13088836e-07 2.13097582e-07
 2.13052046e-07 2.13026898e-07 2.13098353e-07 2.13041050e-07
 2.13087892e-07 2.13090288e-07 2.13053216e-07 2.13048618e-07
 2.13073440e-07 2.13040948e-07 2.13053444e-07 2.13060454e-07
 2.12933047e-07 2.12952974e-07 2.12991381e-07 2.12907558e-07
 2.12908825e-07 2.12797342e-07 2.12866635e-07 2.12732912e-07
 2.12663269e-07 2.12498515e-07 2.12423597e-07 2.12289111e-07
 2.11982977e-07 2.11705196e-07]","[[2.13013641e-07 2.12965063e-07 2.13088836e-07 2.13097582e-07
  2.13052046e-07 2.13026898e-07 2.13098353e-07 2.13041050e-07
  2.13087892e-07 2.13090288e-07 2.13053216e-07 2.13048618e-07
  2.13073440e-07 2.13040948e-07 2.13053444e-07 2.13060454e-07
  2.12933047e-07 2.12952974e-07 2.12991381e-07 2.12907558e-07
  2.12908825e-07 2.12797342e-07 2.12866635e-07 2.12732912e-07
  2.12663269e-07 2.12498515e-07 2.12423597e-07 2.12289111e-07
  2.11982977e-07 2.11705196e-07]]","[[2.13013641e-07 2.12965063e-07 2.13088836e-07 2.13097582e-07
  2.13052046e-07 2.13026898e-07 2.13098353e-07 2.13041050e-07
  2.13087892e-07 2.13090288e-07 2.13053216e-07 2.13048618e-07
  2.13073440e-07 2.13040948e-07 2.13053444e-07 2.13060454e-07
  2.12933047e-07 2.12952974e-07 2.12991381e-07 2.12907558e-07
  2.12908825e-07 2.12797342e-07 2.12866635e-07 2.12732912e-07
  2.12663269e-07 2.12498515e-07 2.12423597e-07 2.12289111e-07
  2.11982977e-07 2.11705196e-07]]"
480,435,optimal,26,4.093150968029135e-10,0.0002937,0.00731,ECOS,"[2.10133169e-07 2.10200948e-07 2.10177893e-07 2.10213566e-07
 2.10230904e-07 2.10232586e-07 2.10252774e-07 2.10270796e-07
 2.10231491e-07 2.10258578e-07 2.10343892e-07 2.10225141e-07
 2.10284970e-07 2.10178944e-07 2.10212104e-07 2.10196400e-07
 2.10214839e-07 2.10135005e-07 2.10177070e-07 2.10146088e-07
 2.10109849e-07 2.10079894e-07 2.09936632e-07 2.09963832e-07
 2.09910806e-07 2.09785652e-07 2.09657181e-07 2.09445950e-07
 2.09218097e-07 2.08922840e-07]","[2.10133169e-07 2.10200948e-07 2.10177893e-07 2.10213566e-07
 2.10230904e-07 2.10232586e-07 2.10252774e-07 2.10270796e-07
 2.10231491e-07 2.10258578e-07 2.10343892e-07 2.10225141e-07
 2.10284970e-07 2.10178944e-07 2.10212104e-07 2.10196400e-07
 2.10214839e-07 2.10135005e-07 2.10177070e-07 2.10146088e-07
 2.10109849e-07 2.10079894e-07 2.09936632e-07 2.09963832e-07
 2.09910806e-07 2.09785652e-07 2.09657181e-07 2.09445950e-07
 2.09218097e-07 2.08922840e-07]","[[2.10133169e-07 2.10200948e-07 2.10177893e-07 2.10213566e-07
  2.10230904e-07 2.10232586e-07 2.10252774e-07 2.10270796e-07
  2.10231491e-07 2.10258578e-07 2.10343892e-07 2.10225141e-07
  2.10284970e-07 2.10178944e-07 2.10212104e-07 2.10196400e-07
  2.10214839e-07 2.10135005e-07 2.10177070e-07 2.10146088e-07
  2.10109849e-07 2.10079894e-07 2.09936632e-07 2.09963832e-07
  2.09910806e-07 2.09785652e-07 2.09657181e-07 2.09445950e-07
  2.09218097e-07 2.08922840e-07]]","[[2.10133169e-07 2.10200948e-07 2.10177893e-07 2.10213566e-07
  2.10230904e-07 2.10232586e-07 2.10252774e-07 2.10270796e-07
  2.10231491e-07 2.10258578e-07 2.10343892e-07 2.10225141e-07
  2.10284970e-07 2.10178944e-07 2.10212104e-07 2.10196400e-07
  2.10214839e-07 2.10135005e-07 2.10177070e-07 2.10146088e-07
  2.10109849e-07 2.10079894e-07 2.09936632e-07 2.09963832e-07
  2.09910806e-07 2.09785652e-07 2.09657181e-07 2.09445950e-07
  2.09218097e-07 2.08922840e-07]]"
540,435,optimal,26,4.103593451781816e-10,0.000281,0.0063038,ECOS,"[2.09791831e-07 2.09880569e-07 2.09879251e-07 2.09882355e-07
 2.09872788e-07 2.09890500e-07 2.09851306e-07 2.09925611e-07
 2.09936569e-07 2.09934151e-07 2.09908028e-07 2.09920339e-07
 2.09975381e-07 2.09909686e-07 2.09848011e-07 2.09867717e-07
 2.09861262e-07 2.09891831e-07 2.09802922e-07 2.09717551e-07
 2.09690563e-07 2.09686925e-07 2.09686333e-07 2.09657212e-07
 2.09592559e-07 2.09566879e-07 2.09426142e-07 2.09205699e-07
 2.08946323e-07 2.08659499e-07]","[2.09791831e-07 2.09880569e-07 2.09879251e-07 2.09882355e-07
 2.09872788e-07 2.09890500e-07 2.09851306e-07 2.09925611e-07
 2.09936569e-07 2.09934151e-07 2.09908028e-07 2.09920339e-07
 2.09975381e-07 2.09909686e-07 2.09848011e-07 2.09867717e-07
 2.09861262e-07 2.09891831e-07 2.09802922e-07 2.09717551e-07
 2.09690563e-07 2.09686925e-07 2.09686333e-07 2.09657212e-07
 2.09592559e-07 2.09566879e-07 2.09426142e-07 2.09205699e-07
 2.08946323e-07 2.08659499e-07]","[[2.09791831e-07 2.09880569e-07 2.09879251e-07 2.09882355e-07
  2.09872788e-07 2.09890500e-07 2.09851306e-07 2.09925611e-07
  2.09936569e-07 2.09934151e-07 2.09908028e-07 2.09920339e-07
  2.09975381e-07 2.09909686e-07 2.09848011e-07 2.09867717e-07
  2.09861262e-07 2.09891831e-07 2.09802922e-07 2.09717551e-07
  2.09690563e-07 2.09686925e-07 2.09686333e-07 2.09657212e-07
  2.09592559e-07 2.09566879e-07 2.09426142e-07 2.09205699e-07
  2.08946323e-07 2.08659499e-07]]","[[2.09791831e-07 2.09880569e-07 2.09879251e-07 2.09882355e-07
  2.09872788e-07 2.09890500e-07 2.09851306e-07 2.09925611e-07
  2.09936569e-07 2.09934151e-07 2.09908028e-07 2.09920339e-07
  2.09975381e-07 2.09909686e-07 2.09848011e-07 2.09867717e-07
  2.09861262e-07 2.09891831e-07 2.09802922e-07 2.09717551e-07
  2.09690563e-07 2.09686925e-07 2.09686333e-07 2.09657212e-07
  2.09592559e-07 2.09566879e-07 2.09426142e-07 2.09205699e-07
  2.08946323e-07 2.08659499e-07]]"
600,435,optimal,26,4.152121312837428e-10,0.0002359,0.0057857,ECOS,"[2.09923353e-07 2.09975277e-07 2.10106224e-07 2.09989941e-07
 2.10048287e-07 2.10084218e-07 2.10018554e-07 2.10082323e-07
 2.10131590e-07 2.10139750e-07 2.10136816e-07 2.10063562e-07
 2.10108466e-07 2.10075147e-07 2.10084170e-07 2.10008905e-07
 2.09992460e-07 2.10085700e-07 2.09997204e-07 2.09950578e-07
 2.09977910e-07 2.09911913e-07 2.09832126e-07 2.09839532e-07
 2.09656556e-07 2.09506852e-07 2.09517236e-07 2.09296461e-07
 2.09011921e-07 2.08730477e-07]","[2.09923353e-07 2.09975277e-07 2.10106224e-07 2.09989941e-07
 2.10048287e-07 2.10084218e-07 2.10018554e-07 2.10082323e-07
 2.10131590e-07 2.10139750e-07 2.10136816e-07 2.10063562e-07
 2.10108466e-07 2.10075147e-07 2.10084170e-07 2.10008905e-07
 2.09992460e-07 2.10085700e-07 2.09997204e-07 2.09950578e-07
 2.09977910e-07 2.09911913e-07 2.09832126e-07 2.09839532e-07
 2.09656556e-07 2.09506852e-07 2.09517236e-07 2.09296461e-07
 2.09011921e-07 2.08730477e-07]","[[2.09923353e-07 2.09975277e-07 2.10106224e-07 2.09989941e-07
  2.10048287e-07 2.10084218e-07 2.10018554e-07 2.10082323e-07
  2.10131590e-07 2.10139750e-07 2.10136816e-07 2.10063562e-07
  2.10108466e-07 2.10075147e-07 2.10084170e-07 2.10008905e-07
  2.09992460e-07 2.10085700e-07 2.09997204e-07 2.09950578e-07
  2.09977910e-07 2.09911913e-07 2.09832126e-07 2.09839532e-07
  2.09656556e-07 2.09506852e-07 2.09517236e-07 2.09296461e-07
  2.09011921e-07 2.08730477e-07]]","[[2.09923353e-07 2.09975277e-07 2.10106224e-07 2.09989941e-07
  2.10048287e-07 2.10084218e-07 2.10018554e-07 2.10082323e-07
  2.10131590e-07 2.10139750e-07 2.10136816e-07 2.10063562e-07
  2.10108466e-07 2.10075147e-07 2.10084170e-07 2.10008905e-07
  2.09992460e-07 2.10085700e-07 2.09997204e-07 2.09950578e-07
  2.09977910e-07 2.09911913e-07 2.09832126e-07 2.09839532e-07
  2.09656556e-07 2.09506852e-07 2.09517236e-07 2.09296461e-07
  2.09011921e-07 2.08730477e-07]]"
